uzytkownicy,trans_sek,sr_czas_s,najdluzszy_s,dostepnosc_pct
50,		8.46,		4.55,		6.13,			100.00
100,		6.33,		7.54,		14.76,			100.00
150,		6.11,		7.83,		13.75,			100.00
