uzytkownicy,trans_sek,sr_czas_s,najdluzszy_s,dostepnosc_pct
10,		9.75,		0.93,		1.56,			100.00
50,		10.27,		4.01,		5.11,			100.00
100,		9.65,		6.61,		10.49,			100.00
250,		9.58,		7.23,		14.47,			100.00
500,		9.71,		7.33,		14.12,			100.00
