uzytkownicy,trans_sek,sr_czas_s,najdluzszy_s,dostepnosc_pct
10,		9.63,		0.94,		1.67,			100.00
20,		10.10,		1.80,		2.70,			100.00
30,		10.12,		2.58,		3.31,			100.00
40,		10.19,		3.38,		4.35,			100.00
50,		9.92,		4.13,		5.45,			100.00
60,		10.12,		4.62,		6.01,			100.00
70,		9.87,		5.36,		7.65,			100.00
80,		9.82,		5.81,		8.38,			100.00
90,		9.96,		6.23,		9.43,			100.00
100,		9.60,		6.60,		10.33,			100.00
